cycle,char num0,char num1,char num2,char num3,char num4,char num5,char num6,char num7,char num8,char num9,userId
0,0.0,5.0331648E7,2.34881024E8,2.01326592E8,2.18103808E8,2.01326592E8,8.388608E7,1.84549376E8,8.388608E7,,test
1,0.0,8.388608E7,2.18103808E8,1.84549376E8,1.84549376E8,1.34217728E8,1.00663296E8,1.84549376E8,6.7108864E7,,test
2,0.0,8.388608E7,2.18103808E8,1.50994944E8,2.18103808E8,1.00663296E8,1.17440512E8,2.01326592E8,3.3554432E7,,test
3,0.0,8.388608E7,2.5165824E8,1.6777216E8,2.18103808E8,1.84549376E8,1.17440512E8,1.84549376E8,1.17440512E8,,test
4,0.0,8.388608E7,2.34881024E8,1.6777216E8,2.01326592E8,1.17440512E8,1.17440512E8,1.84549376E8,6.7108864E7,,test
5,0.0,8.388608E7,2.34881024E8,1.50994944E8,1.6777216E8,1.50994944E8,1.00663296E8,1.6777216E8,8.388608E7,,test
6,0.0,8.388608E7,2.34881024E8,1.50994944E8,1.84549376E8,1.34217728E8,8.388608E7,1.84549376E8,1.17440512E8,,test
7,0.0,8.388608E7,2.5165824E8,1.50994944E8,1.6777216E8,1.17440512E8,1.17440512E8,2.01326592E8,6.7108864E7,,test
8,0.0,1.00663296E8,2.34881024E8,1.34217728E8,1.84549376E8,1.34217728E8,1.00663296E8,1.84549376E8,1.00663296E8,,test
9,0.0,1.17440512E8,2.5165824E8,1.34217728E8,2.01326592E8,1.50994944E8,1.17440512E8,1.84549376E8,1.00663296E8,,test
10,0.0,1.00663296E8,2.18103808E8,1.6777216E8,1.84549376E8,1.17440512E8,1.17440512E8,2.01326592E8,6.7108864E7,,test
11,0.0,1.17440512E8,2.18103808E8,1.34217728E8,2.01326592E8,1.6777216E8,1.34217728E8,2.01326592E8,1.34217728E8,,test
12,0.0,8.388608E7,2.68435456E8,1.50994944E8,1.6777216E8,1.50994944E8,1.00663296E8,2.01326592E8,1.17440512E8,,test
13,0.0,8.388608E7,2.68435456E8,1.34217728E8,1.6777216E8,1.6777216E8,1.17440512E8,1.84549376E8,1.34217728E8,,test
14,0.0,1.17440512E8,2.5165824E8,1.50994944E8,1.6777216E8,1.34217728E8,1.00663296E8,2.01326592E8,1.17440512E8,,test
